"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Jan-14,20:00,*m,88.756,0.6084,5.411318,28.5,-5.08,349.59,-0.02,0.371809163,-10.057894,1.243263315,-31.1027759,13.8206,/T,39.1888,269.1915
1988-Jan-15,20:00,*m,87.183,0.704,5.492664,33.01,-5.19,351.32,-0.02,0.366002179,-10.0390229,1.224850504,-32.7693101,14.4071,/T,41.9608,273.602
1988-Jan-16,20:00,*m,85.427,0.8133,5.580963,37.54,-5.32,352.9,-0.02,0.360223977,-9.9571911,1.205471628,-34.4541875,14.9786,/T,44.8897,278.1544
1988-Jan-17,20:00,*m,83.47,0.9384,5.676807,42.09,-5.45,354.34,-0.02,0.354512543,-9.806798,1.185119145,-36.1459146,15.5309,/T,47.9854,282.8545
1988-Jan-18,20:00,*m,81.295,1.0813,5.780832,46.67,-5.58,355.63,-0.01,0.348909077,-9.5823387,1.16379307,-37.8296819,16.0589,/T,51.2576,287.7071
1988-Jan-19,20:00,*m,78.885,1.2444,5.893714,51.27,-5.73,356.76,-0.01,0.343457886,-9.2786219,1.141503019,-39.4869036,16.5567,/T,54.716,292.716
1988-Jan-20,20:00,*m,76.226,1.4303,6.016158,55.91,-5.88,357.73,-0.01,0.338206117,-8.8910433,1.118270514,-41.0948167,17.0175,/T,58.3694,297.8836
1988-Jan-21,20:00,*m,73.303,1.6415,6.148889,60.6,-6.05,358.55,0,0.333203333,-8.4159132,1.094131478,-42.6261904,17.4336,/T,62.2261,303.2104
1988-Jan-22,20:00,*m,70.107,1.881,6.292628,65.34,-6.22,359.2,0,0.328500876,-7.8508304,1.069138863,-44.0492003,17.7961,/T,66.293,308.6948
1988-Jan-23,20:00,*m,66.633,2.1515,6.44807,70.15,-6.41,359.71,0,0.324151007,-7.1950839,1.043365281,-45.3275332,18.0954,/T,70.5754,314.3325
